restaurantname;pricerange;area;food;phone;addr;postcode;foodquality;crowdedness;lengthofstay
saint johns chop house;moderate;west;british;01223 353110;21 - 24 northampton street;c.b 3;TRUE;FALSE;TRUE
restaurant alimentum;moderate;north;modern european;01223 413000;152 - 154 hills road;c.b 2;FALSE;TRUE;TRUE
pizza hut cherry hinton;moderate;south;italian;01223 323737;g4 cambridge leisure park clifton way cherry hinton;c.b 1;FALSE;TRUE;FALSE
the gardenia;moderate;west;romanian;01223 356354;2 rose crescent city centre;c.b 2;TRUE;TRUE;TRUE
loch fyne;moderate;centre;seafood;01223 362433;the little rose 37 trumpington street;c.b 2;FALSE;FALSE;FALSE
yu garden;expensive;east;chinese;01223 248882;529 newmarket road fen ditton;c.b 5;TRUE;FALSE;TRUE
sitar tandoori;expensive;east;steakhouse;01223 249955;43 high street cherry hinton cherry hinton;c.b 1;FALSE;TRUE;FALSE
saigon city;expensive;north;asian oriental;01223 356555;169 high street chesterton chesterton;c.b 4;FALSE;TRUE;TRUE
restaurant two two;expensive;north;french;01223 351880;22 chesterton road chesterton;c.b 4;FALSE;TRUE;FALSE
the hotpot;expensive;north;chinese;01223 366552;66 chesterton road chesterton;c.b 4;TRUE;TRUE;FALSE
nandos;cheap;south;portuguese;01223 327908;cambridge leisure park clifton way;c.b 1;FALSE;TRUE;TRUE
peking restaurant;expensive;south;chinese;01223 354755;10 homerton street city centre;c.b 2;FALSE;FALSE;FALSE
rajmahal;moderate;east;indian;01223 244955;7 barnwell road fen ditton;c.b 5;TRUE;TRUE;FALSE
pizza hut fen ditton;moderate;east;italian;01223 323737;cambridge retail park newmarket road fen ditton;c.b 5;FALSE;TRUE;TRUE
the missing sock;cheap;south;chinese;01223 812660;finders corner newmarket road;c.b 25;FALSE;FALSE;TRUE
royal standard;expensive;east;spanish;01223 247877;290 mill road city centre;c.b 1;FALSE;TRUE;TRUE
grafton hotel restaurant;expensive;east;british;01223 241387;grafton hotel 619 newmarket road fen ditton;c.b 5;FALSE;TRUE;TRUE
dojo noodle bar;expensive;centre;asian oriental;01223 363471;40210 millers yard city centre;c.b 2;TRUE;TRUE;FALSE
cambridge lodge restaurant;expensive;west;european;01223 355166;cambridge lodge hotel 139 huntingdon road city centre;c.b 3;FALSE;TRUE;TRUE
thanh binh;cheap;west;vietnamese;01223 362456;17 magdalene street city centre;c.b 3;FALSE;TRUE;TRUE
stazione restaurant and coffee bar;expensive;centre;korean;01223 352607;market hill city centre;;FALSE;TRUE;TRUE
cote;expensive;centre;french;01223 311053;bridge street city centre;c.b 2;TRUE;FALSE;TRUE
cotto;moderate;centre;british;01223 302010;183 east road city centre;c.b 1;TRUE;FALSE;TRUE
bangkok city;expensive;centre;thai;01223 354382;24 green street city centre;c.b 2;FALSE;TRUE;TRUE
frankie and bennys;expensive;south;italian;01223 412430;cambridge leisure park clifton way cherry hinton;c.b 1;FALSE;FALSE;FALSE
the cow pizza kitchen and bar;moderate;centre;moroccan;01223 308871;corn exchange street;c.b 2;TRUE;TRUE;FALSE
eraina;expensive;centre;european;01223 368786;free school lane city centre;c.b 2;FALSE;TRUE;TRUE
curry garden;expensive;centre;asian oriental;01223 302330;106 regent street city centre;;TRUE;FALSE;TRUE
mahal of cambridge;cheap;centre;indian;01223 360409;3 - 5 millers yard mill lane;;FALSE;FALSE;FALSE
golden wok;moderate;north;asian oriental;01223 350688;191 histon road chesterton;c.b 4;TRUE;FALSE;TRUE
meghna;moderate;north;indian;01223 727410;205 victoria road chesterton;c.b 4;TRUE;TRUE;FALSE
the nirala;moderate;north;indian;01223 360966;7 milton road chesterton;c.b 4;FALSE;TRUE;TRUE
michaelhouse cafe;expensive;centre;european;01223 309147;st. michael's church trinity street city centre;c.b 2;TRUE;FALSE;TRUE
efes restaurant;moderate;centre;swiss;01223 500005;king street city centre;c.b 1;FALSE;TRUE;TRUE
chiquito restaurant bar;expensive;south;european;01223 400170;2g cambridge leisure park cherry hinton road cherry hinton;c.b 1;FALSE;TRUE;TRUE
caffe uno;expensive;centre;italian;01223 448620;32 bridge street city centre;;TRUE;FALSE;TRUE
j restaurant;cheap;centre;fusion;01223 307581;86 regent street city centre;c.b 2;TRUE;TRUE;TRUE
la margherita;cheap;south;italian;01223 315232;15 magdalene street city centre;c.b 3;FALSE;TRUE;TRUE
cocum;expensive;east;gastropub;01223 366668;71 castle street city centre;c.b 3;TRUE;TRUE;TRUE
city stop restaurant;expensive;north;tuscan;01223 363270;cambridge city football club milton road chesterton;;FALSE;FALSE;FALSE
sala thong;expensive;west;thai;01223 323178;35 newnham road newnham;c.b 3;TRUE;TRUE;FALSE
